"","Date","First","Last","Institution","City","Country","Lon","Lat","Leaf_URL","Website"
"1","2018-04-27","Shirley","Papuga","Wayne State University","Detroit, MI","United States",-83.066,42.358,"https://www.aguecohydrology.org/blog-adding-our-leaves/a-new-leaf-shirley-kurc-papuga","https://clasprofiles.wayne.edu/profile/gk9294"
"2","2018-04-30","Sam","Zipper","Kansas Geological Survey","Lawrence, KS","United States",-95.261,38.949,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-sam-zipper","https://www.samzipper.com/"
"3","2018-05-07","Stefan","Krause","University of Birmingham","Birmingham","United Kingdom",-1.93,52.45,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-stefan-krause","https://www.birmingham.ac.uk/staff/profiles/gees/krause-stefan.aspx"
"4","2018-05-14","Bhavna","Arora","Lawrence Berkeley National Laboratory","Berkely, CA","United States",-122.249,37.876,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-bhavna-arora","https://eesa.lbl.gov/profiles/bhavna-arora/"
"5","2018-05-21","Liz","Agee","Oak Ridge National Laboratory","Ann Arbor, MI","United States",-83.738,42.277,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-elizabeth-liz-agee","https://laagee.github.io/"
"6","2018-05-28","Diego","Riveros-Iregui","University of North Carolina - Chapel Hill","Chapel Hill, NC","United States",-79.05,35.91,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-diego-riveros-iregui","https://diegori.web.unc.edu/"
"7","2018-06-04","Jeremy","Littell","USGS","Fairbanks, AK","United States",-147.833,64.856,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-jeremy-littell","https://www.usgs.gov/staff-profiles/jeremy-littell?qt-staff_profile_science_products=0#qt-staff_profile_science_products"
"8","2018-06-11","Beth","Boyer","Penn State University","State College, PA","United States",-77.86,40.797,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-elizabeth-boyer","https://sites.psu.edu/ewboyer/"
"9","2018-06-18","Francina","Dominguez","University of Illinois","Urbana, IL","United States",-88.227,40.102,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-francina-dominguez","https://francina.web.illinois.edu/"
"10","2018-06-25","Khandker","Ishtiaq","Florida International University","Miami, FL","United States",-80.377,25.755,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-khandker-ishtiaq","http://wetland.fiu.edu/khandker-ishtiaq"
"11","2018-07-02","Stan","Schymanski","Luxembourg Institute of Science and Technology",NA,"Luxembourg",5.944,49.506,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-stan-schymanski","https://stanschymanski.wordpress.com/"
"12","2018-07-09","Ashley","Matheny","University of Texas - Austin","Austin, TX","United States",-97.734,30.284,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-ashley-matheny","https://www.jsg.utexas.edu/researcher/ashley_matheny/"
"13","2018-07-16","Sylvain","Kuppel","University of Aberdeen","Aberdeen","United Kingdom",-2.101,57.164,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-sylvain-kuppel","https://www.researchgate.net/profile/Sylvain_Kuppel"
"14","2018-07-23","Erkan","Istanbulluoglu","University of Washington","Seattle, WA","United States",-122.303,47.656,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-erkan-istanbulluoglu","https://freshwater.uw.edu/person/erkan-istanbulluoglu/"
"15","2018-07-30","Salli","Dymond","University of Minnesota - Duluth","Duluth, MN","United States",-92.084,46.818,"https://www.aguecohydrology.org/blog-adding-our-leaves/meet-a-leaf-salli-dymond","http://www.dymondlab.com/"
"16","2018-08-06","Mark","Johnson",NA,NA,NA,NA,NA,NA,NA
"17","2018-08-13","Yannis","Dialynas",NA,NA,NA,NA,NA,NA,NA
"18","2018-08-20","Naomi","Tague",NA,NA,NA,NA,NA,NA,NA
"19","2018-08-27","Simone","Fatichi",NA,NA,NA,NA,NA,NA,NA
"20","2018-09-03","Angelica Maria","Gomez",NA,NA,NA,NA,NA,NA,NA
"21","2018-09-10","Tony","Parolari",NA,NA,NA,NA,NA,NA,NA
"22","2018-09-17","Adrian","Harpold",NA,NA,NA,NA,NA,NA,NA
"23","2018-09-24","Cynthia","Gerlein-Safdi",NA,NA,NA,NA,NA,NA,NA
"24","2018-10-01","Steven","Loheide",NA,NA,NA,NA,NA,NA,NA
"25","2018-10-08","Natasha","Krell",NA,NA,NA,NA,NA,NA,NA
"26","2018-10-15","Aline","Jaimes-Hernandez",NA,NA,NA,NA,NA,NA,NA
"27","2018-10-22","David","Chandler",NA,NA,NA,NA,NA,NA,NA
"28","2018-10-29","Lixin","Wang",NA,NA,NA,NA,NA,NA,NA
"29","2018-11-05","Brad","Wilcox",NA,NA,NA,NA,NA,NA,NA
"30","2018-11-12","Sally","Thompson",NA,NA,NA,NA,NA,NA,NA
"31","2018-11-19","Holly","Barnard",NA,NA,NA,NA,NA,NA,NA
"32","2018-11-26","Enrico","Yepez",NA,NA,NA,NA,NA,NA,NA
"33","2018-12-03","Daniele","Penna",NA,NA,NA,NA,NA,NA,NA
"34","2018-12-10","Kim","Van Meter",NA,NA,NA,NA,NA,NA,NA
"35","2018-12-17","Pamela","Nagler",NA,NA,NA,NA,NA,NA,NA
"36","2018-12-24","Paolo Tarso","Oliveira",NA,NA,NA,NA,NA,NA,NA
"37","2018-12-31","Aurora","Kagawa-Viviani",NA,NA,NA,NA,NA,NA,NA
"38","2019-01-07","Amilcare","Porporato",NA,NA,NA,NA,NA,NA,NA
"39","2019-01-14","Jia","Hu",NA,NA,NA,NA,NA,NA,NA
"40","2019-01-21","Nandita","Basu",NA,NA,NA,NA,NA,NA,NA
"41","2019-01-28","Esteban","Jobbágy",NA,NA,NA,NA,NA,NA,NA
"42","2019-02-04","Ryan","Morrison",NA,NA,NA,NA,NA,NA,NA
"43","2019-02-11","Amy","Hansen",NA,NA,NA,NA,NA,NA,NA
"44","2019-02-18","Kelly","Caylor",NA,NA,NA,NA,NA,NA,NA
"45","2019-02-25","Gabriele","Manoli",NA,NA,NA,NA,NA,NA,NA
"46","2019-03-04","Zulia","Sanchez Mejia",NA,NA,NA,NA,NA,NA,NA
"47","2019-03-11","Dave","Breshears",NA,NA,NA,NA,NA,NA,NA
"48","2019-03-18","Mauricio","Arias",NA,NA,NA,NA,NA,NA,NA
"49","2019-03-25","Shashir","Basant",NA,NA,NA,NA,NA,NA,NA
"50","2019-04-01","Lauren","McPhillips",NA,NA,NA,NA,NA,NA,NA
"51","2019-04-08","Jonathan","Martin",NA,NA,NA,NA,NA,NA,NA
"52","2019-04-15","J. Renee","Brooks",NA,NA,NA,NA,NA,NA,NA
"53","2019-04-22","Paul","Brooks",NA,NA,NA,NA,NA,NA,NA
"54","2019-04-29","Ignacio","Rodriguez-Iturbe",NA,NA,NA,NA,NA,NA,NA
"55","2019-05-06","Scott","Allen",NA,NA,NA,NA,NA,NA,NA
"56","2019-05-13","Lizzie","Gardner",NA,NA,NA,NA,NA,NA,NA
"57","2019-05-20","Huade","Guan",NA,NA,NA,NA,NA,NA,NA
"58","2019-05-27","Femeena","Pandara Valappil",NA,NA,NA,NA,NA,NA,NA
"59","2019-06-03","Brent","Newman",NA,NA,NA,NA,NA,NA,NA
"60","2019-06-10","Tonantzin","Tarin",NA,NA,NA,NA,NA,NA,NA
"61","2019-06-17","Sujith","Ravi",NA,NA,NA,NA,NA,NA,NA
"62","2019-06-24","Jaivime","Evaristo",NA,NA,NA,NA,NA,NA,NA
"63","2019-07-01","Bill","Shuster",NA,NA,NA,NA,NA,NA,NA
"64","2019-07-08","Carly","Ziter",NA,NA,NA,NA,NA,NA,NA
"65","2019-07-15","Georgianne","Moore",NA,NA,NA,NA,NA,NA,NA
"66","2019-07-22","Monica","Palta",NA,NA,NA,NA,NA,NA,NA
"67","2019-07-29","Nancy","Grimm",NA,NA,NA,NA,NA,NA,NA
"68","2019-08-05","Elie","Bou-Zeid",NA,NA,NA,NA,NA,NA,NA
"69","2019-08-12","Gaby","Katul",NA,NA,NA,NA,NA,NA,NA
"70","2019-08-19","Matthias","Sprenger",NA,NA,NA,NA,NA,NA,NA
"71","2019-08-26","Simon","Zwieback",NA,NA,NA,NA,NA,NA,NA
"72","2019-09-02","Mallory","Barnes",NA,NA,NA,NA,NA,NA,NA
"73","2019-09-09","Rafael","Rosolem",NA,NA,NA,NA,NA,NA,NA
"74","2019-09-16","Edoardo","Daly",NA,NA,NA,NA,NA,NA,NA
"75","2019-09-23","Ryan","Emmanuel",NA,NA,NA,NA,NA,NA,NA
"76","2019-09-30","Kim","Quesnel",NA,NA,NA,NA,NA,NA,NA
